Pin_Group,Pin_Name
lvl_all_1p25_pch_ec,XXJTAG_PCD_TCK__EC
all_hpc_clock_pins,XXHVMBCLK__HPC
all_hpc_clock_pins,XXRTCX1__HPC
all_hpc_clock_pins,#XXRTCX2__HPC
all_hpc_clock_pins,XXXTAL_IN__HPC
all_hpc_clock_pins,XXXTAL_OUT__HPC
all_hpc_clock_pins,XXGCD_HVM_CLK__HPC
lvl_all_1p5_pch_hpc,XXRTCX1__HPC
all_dmn,DLVR_PDMON0
all_dmn,DLVR_PDMON1
all_dmn,XXVIEWPWR_0
all_dmn,XXVIEWPWR_1
all_dmn,XXVTARGET_0
all_dmn,XXVTARGET_1
all_dmn,XXBOOTHALT_B
all_dmn,XXCLKOUT_SOC_0_N_DP
all_dmn,XXCLKOUT_SOC_0_P_DP
all_dmn,XXCLKOUT_SOC_1_N_DP
all_dmn,XXCLKOUT_SOC_1_P_DP
all_dmn,XXCLKOUT_SOC_2_N_DP
all_dmn,XXCLKOUT_SOC_2_P_DP
all_dmn,XXCLKOUT_SOC_3_N_DP
all_dmn,XXCLKOUT_SOC_3_P_DP
all_dmn,XXCLKOUT_SOC_4_N_DP
all_dmn,XXCLKOUT_SOC_4_P_DP
all_dmn,XXCLKOUT_SOC_5_N_DP
all_dmn,XXCLKOUT_SOC_5_P_DP
all_dmn,XXCLKOUT_SOC_6_N_DP
all_dmn,XXCLKOUT_SOC_6_P_DP
all_dmn,XXCLKOUT_SOC_7_N_DP
all_dmn,XXCLKOUT_SOC_7_P_DP
all_dmn,XXCLKOUT_SOC_8_N_DP
all_dmn,XXCLKOUT_SOC_8_P_DP
all_dmn,XXCNV_WR_Y_WT_CLK_N
all_dmn,XXCNV_WR_Y_WT_CLK_P
all_dmn,XXCNV_WR_Y_WT_D0_N
all_dmn,XXCNV_WR_Y_WT_D0_P
all_dmn,XXCNV_WR_Y_WT_D1_N
all_dmn,XXCNV_WR_Y_WT_D1_P
all_dmn,XXLYA_0
all_dmn,XXLYA_1
all_dmn,XXCSI_A_A0_D0_P
all_dmn,XXCSI_A_A1_D1_P
all_dmn,XXCSI_A_B0_D0_N
all_dmn,XXCSI_A_B1_D1_N
all_dmn,XXCSI_A_C0_CK_P
all_dmn,XXCSI_A_C1_CK_N
all_dmn,XXCSI_B_A0_D0_P
all_dmn,XXCSI_B_A1_D1_P
all_dmn,XXCSI_B_B0_D0_N
all_dmn,XXCSI_B_B1_D1_N
all_dmn,XXCSI_B_C0_CK_P
all_dmn,XXCSI_B_C1_CK_N
all_dmn,XXCSI_C_A0_D0_P
all_dmn,XXCSI_C_A1_D1_P
all_dmn,XXCSI_C_B0_D0_N
all_dmn,XXCSI_C_B1_D1_N
all_dmn,XXCSI_C_C0_CK_P
all_dmn,XXCSI_C_C1_CK_N
all_dmn,XXCSI_RCOMP
all_dmn,XXDBG_PMODE
all_dmn,XXDDI_A_AUX_N
all_dmn,XXDDI_A_AUX_P
all_dmn,XXDDI_A_TX_0_N
all_dmn,XXDDI_A_TX_0_P
all_dmn,XXDDI_A_TX_1_N
all_dmn,XXDDI_A_TX_1_P
all_dmn,XXDDI_A_TX_2_N
all_dmn,XXDDI_A_TX_2_P
all_dmn,XXDDI_A_TX_3_N
all_dmn,XXDDI_A_TX_3_P
all_dmn,XXDDI_RCOMP
all_dmn,XXDDR_0CA0_0CA3_0CA6_0CA0
all_dmn,XXDDR_0CA1_0CA4_0CA3_0CS0
all_dmn,XXDDR_0CA10_1CA8_2CA2_2CA2
all_dmn,XXDDR_0CA11_NC_2CA0_2CA6
all_dmn,XXDDR_0CA12_1CA2_2CA1_2CA5
all_dmn,XXDDR_0CA2_NC_0CA2_0CA2
all_dmn,XXDDR_0CA3_0CA8_0CS1_0CA4
all_dmn,XXDDR_0CA4_NC_0CA1_0CA5
all_dmn,XXDDR_0CA5_0CA7_0CA0_0CA6
all_dmn,XXDDR_0CA6_NC_2CA6_2CA0
all_dmn,XXDDR_0CA7_1CA9_2CA5_2CA1
all_dmn,XXDDR_0CA8_NC_2CA4_2CS1
all_dmn,XXDDR_0CA9_1CA4_2CS1_2CA4
all_dmn,XXDDR_0CLK0N_0CLK0N_0CLKN_0CLKN
all_dmn,XXDDR_0CLK0P_0CLK0P_0CLKP_0CLKP
all_dmn,XXDDR_0CLK1N_1CLK0N_2CLKN_2CLKN
all_dmn,XXDDR_0CLK1P_1CLK0P_2CLKP_2CLKP
all_dmn,XXDDR_0CS0_NC_0CA4_0CS1
all_dmn,XXDDR_0CS1_0CA2_0CA5_0CA1
all_dmn,XXDDR_1CA0_0CS0_1CA6_1CA0
all_dmn,XXDDR_1CA1_0CS1_1CA3_1CS0
all_dmn,XXDDR_1CA10_1CA5_3CA2_3CA2
all_dmn,XXDDR_1CA11_1CA1_3CA1_3CA5
all_dmn,XXDDR_1CA12_1CS0_3CA0_3CA6
all_dmn,XXDDR_1CA2_0CA5_1CA2_1CA2
all_dmn,XXDDR_1CA3_0CA6_1CS1_1CA4
all_dmn,XXDDR_1CA4_0CA10_1CA1_1CA5
all_dmn,XXDDR_1CA5_0CA12_1CA0_1CA6
all_dmn,XXDDR_1CA6_1CA12_3CA6_3CA0
all_dmn,XXDDR_1CA7_1CA11_3CA5_3CA1
all_dmn,XXDDR_1CA8_1CA10_3CA4_3CS1
all_dmn,XXDDR_1CA9_1CS1_3CS1_3CA4
all_dmn,XXDDR_1CLK0N_0CLK1N_1CLKN_1CLKN
all_dmn,XXDDR_1CLK0P_0CLK1P_1CLKP_1CLKP
all_dmn,XXDDR_1CLK1N_1CLK1N_3CLKN_3CLKN
all_dmn,XXDDR_1CLK1P_1CLK1P_3CLKP_3CLKP
all_dmn,XXDDR_1CS0_0CA1_1CA4_1CS1
all_dmn,XXDDR_1CS1_0CA0_1CA5_1CA1
all_dmn,XXDDR_2CA0_3CA2_6CA1_6CA5
all_dmn,XXDDR_2CA1_3CA4_6CS1_6CA4
all_dmn,XXDDR_2CA10_NC_4CA2_4CA2
all_dmn,XXDDR_2CA11_2CA2_4CA5_4CA1
all_dmn,XXDDR_2CA12_2CA3_4CA6_4CA0
all_dmn,XXDDR_2CA2_3CA8_6CA2_6CA2
all_dmn,XXDDR_2CA3_3CA9_6CA5_6CA1
all_dmn,XXDDR_2CA4_NC_6CA4_6CS1
all_dmn,XXDDR_2CA5_2CA7_4CA0_4CA6
all_dmn,XXDDR_2CA6_NC_6CA6_6CA0
all_dmn,XXDDR_2CA7_2CA8_4CS1_4CA4
all_dmn,XXDDR_2CA8_NC_4CA1_4CA5
all_dmn,XXDDR_2CA9_2CA4_4CA3_4CS0
all_dmn,XXDDR_2CLK0N_2CLK0N_4CLKN_4CLKN
all_dmn,XXDDR_2CLK0P_2CLK0P_4CLKP_4CLKP
all_dmn,XXDDR_2CLK1N_3CLK0N_6CLKN_6CLKN
all_dmn,XXDDR_2CLK1P_3CLK0P_6CLKP_6CLKP
all_dmn,XXDDR_2CS0_3CA3_6CS0_6CA3
all_dmn,XXDDR_2CS1_NC_6CA0_6CA6
all_dmn,XXDDR_3CA0_3CS0_7CA0_7CA6
all_dmn,XXDDR_3CA1_3CS1_7CS1_7CA4
all_dmn,XXDDR_3CA10_2CA5_5CA2_5CA2
all_dmn,XXDDR_3CA11_2CA0_5CA5_5CA1
all_dmn,XXDDR_3CA12_2CS0_5CA6_5CA0
all_dmn,XXDDR_3CA2_3CA5_7CA2_7CA2
all_dmn,XXDDR_3CA3_3CA11_7CA5_7CA1
all_dmn,XXDDR_3CA4_3CA10_7CA4_7CS1
all_dmn,XXDDR_3CA5_2CA12_5CA0_5CA6
all_dmn,XXDDR_3CA6_3CA12_7CA6_7CA0
all_dmn,XXDDR_3CA7_2CA6_5CS1_5CA4
all_dmn,XXDDR_3CA8_2CA10_5CA1_5CA5
all_dmn,XXDDR_3CA9_2CS1_5CA3_5CS0
all_dmn,XXDDR_3CLK0N_2CLK1N_5CLKN_5CLKN
all_dmn,XXDDR_3CLK0P_2CLK1P_5CLKP_5CLKP
all_dmn,XXDDR_3CLK1N_3CLK1N_7CLKN_7CLKN
all_dmn,XXDDR_3CLK1P_3CLK1P_7CLKP_7CLKP
all_dmn,XXDDR_3CS0_3CA0_7CS0_7CA3
all_dmn,XXDDR_3CS1_3CA1_7CA1_7CA5
all_dmn,XXDDR_ANA_VIEW
all_dmn,XXDDR_COMP
all_dmn,XXDDR_DQ_IL500_NIL500_LP00_0
all_dmn,XXDDR_DQ_IL500_NIL500_LP00_1
all_dmn,XXDDR_DQ_IL500_NIL500_LP00_2
all_dmn,XXDDR_DQ_IL500_NIL500_LP00_3
all_dmn,XXDDR_DQ_IL500_NIL500_LP00_4
all_dmn,XXDDR_DQ_IL500_NIL500_LP00_5
all_dmn,XXDDR_DQ_IL500_NIL500_LP00_6
all_dmn,XXDDR_DQ_IL500_NIL500_LP00_7
all_dmn,XXDDR_DQ_IL501_NIL501_LP01_0
all_dmn,XXDDR_DQ_IL501_NIL501_LP01_1
all_dmn,XXDDR_DQ_IL501_NIL501_LP01_2
all_dmn,XXDDR_DQ_IL501_NIL501_LP01_3
all_dmn,XXDDR_DQ_IL501_NIL501_LP01_4
all_dmn,XXDDR_DQ_IL501_NIL501_LP01_5
all_dmn,XXDDR_DQ_IL501_NIL501_LP01_6
all_dmn,XXDDR_DQ_IL501_NIL501_LP01_7
all_dmn,XXDDR_DQ_IL502_NIL510_LP20_0
all_dmn,XXDDR_DQ_IL502_NIL510_LP20_1
all_dmn,XXDDR_DQ_IL502_NIL510_LP20_2
all_dmn,XXDDR_DQ_IL502_NIL510_LP20_3
all_dmn,XXDDR_DQ_IL502_NIL510_LP20_4
all_dmn,XXDDR_DQ_IL502_NIL510_LP20_5
all_dmn,XXDDR_DQ_IL502_NIL510_LP20_6
all_dmn,XXDDR_DQ_IL502_NIL510_LP20_7
all_dmn,XXDDR_DQ_IL503_NIL511_LP21_0
all_dmn,XXDDR_DQ_IL503_NIL511_LP21_1
all_dmn,XXDDR_DQ_IL503_NIL511_LP21_2
all_dmn,XXDDR_DQ_IL503_NIL511_LP21_3
all_dmn,XXDDR_DQ_IL503_NIL511_LP21_4
all_dmn,XXDDR_DQ_IL503_NIL511_LP21_5
all_dmn,XXDDR_DQ_IL503_NIL511_LP21_6
all_dmn,XXDDR_DQ_IL503_NIL511_LP21_7
all_dmn,XXDDR_DQ_IL510_NIL502_LP10_0
all_dmn,XXDDR_DQ_IL510_NIL502_LP10_1
all_dmn,XXDDR_DQ_IL510_NIL502_LP10_2
all_dmn,XXDDR_DQ_IL510_NIL502_LP10_3
all_dmn,XXDDR_DQ_IL510_NIL502_LP10_4
all_dmn,XXDDR_DQ_IL510_NIL502_LP10_5
all_dmn,XXDDR_DQ_IL510_NIL502_LP10_6
all_dmn,XXDDR_DQ_IL510_NIL502_LP10_7
all_dmn,XXDDR_DQ_IL511_NIL503_LP11_0
all_dmn,XXDDR_DQ_IL511_NIL503_LP11_1
all_dmn,XXDDR_DQ_IL511_NIL503_LP11_2
all_dmn,XXDDR_DQ_IL511_NIL503_LP11_3
all_dmn,XXDDR_DQ_IL511_NIL503_LP11_4
all_dmn,XXDDR_DQ_IL511_NIL503_LP11_5
all_dmn,XXDDR_DQ_IL511_NIL503_LP11_6
all_dmn,XXDDR_DQ_IL511_NIL503_LP11_7
all_dmn,XXDDR_DQ_IL512_NIL512_LP30_0
all_dmn,XXDDR_DQ_IL512_NIL512_LP30_1
all_dmn,XXDDR_DQ_IL512_NIL512_LP30_2
all_dmn,XXDDR_DQ_IL512_NIL512_LP30_3
all_dmn,XXDDR_DQ_IL512_NIL512_LP30_4
all_dmn,XXDDR_DQ_IL512_NIL512_LP30_5
all_dmn,XXDDR_DQ_IL512_NIL512_LP30_6
all_dmn,XXDDR_DQ_IL512_NIL512_LP30_7
all_dmn,XXDDR_DQ_IL513_NIL513_LP31_0
all_dmn,XXDDR_DQ_IL513_NIL513_LP31_1
all_dmn,XXDDR_DQ_IL513_NIL513_LP31_2
all_dmn,XXDDR_DQ_IL513_NIL513_LP31_3
all_dmn,XXDDR_DQ_IL513_NIL513_LP31_4
all_dmn,XXDDR_DQ_IL513_NIL513_LP31_5
all_dmn,XXDDR_DQ_IL513_NIL513_LP31_6
all_dmn,XXDDR_DQ_IL513_NIL513_LP31_7
all_dmn,XXDDR_DQ_IL520_NIL520_LP40_0
all_dmn,XXDDR_DQ_IL520_NIL520_LP40_1
all_dmn,XXDDR_DQ_IL520_NIL520_LP40_2
all_dmn,XXDDR_DQ_IL520_NIL520_LP40_3
all_dmn,XXDDR_DQ_IL520_NIL520_LP40_4
all_dmn,XXDDR_DQ_IL520_NIL520_LP40_5
all_dmn,XXDDR_DQ_IL520_NIL520_LP40_6
all_dmn,XXDDR_DQ_IL520_NIL520_LP40_7
all_dmn,XXDDR_DQ_IL521_NIL521_LP41_0
all_dmn,XXDDR_DQ_IL521_NIL521_LP41_1
all_dmn,XXDDR_DQ_IL521_NIL521_LP41_2
all_dmn,XXDDR_DQ_IL521_NIL521_LP41_3
all_dmn,XXDDR_DQ_IL521_NIL521_LP41_4
all_dmn,XXDDR_DQ_IL521_NIL521_LP41_5
all_dmn,XXDDR_DQ_IL521_NIL521_LP41_6
all_dmn,XXDDR_DQ_IL521_NIL521_LP41_7
all_dmn,XXDDR_DQ_IL522_NIL530_LP60_0
all_dmn,XXDDR_DQ_IL522_NIL530_LP60_1
all_dmn,XXDDR_DQ_IL522_NIL530_LP60_2
all_dmn,XXDDR_DQ_IL522_NIL530_LP60_3
all_dmn,XXDDR_DQ_IL522_NIL530_LP60_4
all_dmn,XXDDR_DQ_IL522_NIL530_LP60_5
all_dmn,XXDDR_DQ_IL522_NIL530_LP60_6
all_dmn,XXDDR_DQ_IL522_NIL530_LP60_7
all_dmn,XXDDR_DQ_IL523_NIL531_LP61_0
all_dmn,XXDDR_DQ_IL523_NIL531_LP61_1
all_dmn,XXDDR_DQ_IL523_NIL531_LP61_2
all_dmn,XXDDR_DQ_IL523_NIL531_LP61_3
all_dmn,XXDDR_DQ_IL523_NIL531_LP61_4
all_dmn,XXDDR_DQ_IL523_NIL531_LP61_5
all_dmn,XXDDR_DQ_IL523_NIL531_LP61_6
all_dmn,XXDDR_DQ_IL523_NIL531_LP61_7
all_dmn,XXDDR_DQ_IL530_NIL522_LP50_0
all_dmn,XXDDR_DQ_IL530_NIL522_LP50_1
all_dmn,XXDDR_DQ_IL530_NIL522_LP50_2
all_dmn,XXDDR_DQ_IL530_NIL522_LP50_3
all_dmn,XXDDR_DQ_IL530_NIL522_LP50_4
all_dmn,XXDDR_DQ_IL530_NIL522_LP50_5
all_dmn,XXDDR_DQ_IL530_NIL522_LP50_6
all_dmn,XXDDR_DQ_IL530_NIL522_LP50_7
all_dmn,XXDDR_DQ_IL531_NIL523_LP51_0
all_dmn,XXDDR_DQ_IL531_NIL523_LP51_1
all_dmn,XXDDR_DQ_IL531_NIL523_LP51_2
all_dmn,XXDDR_DQ_IL531_NIL523_LP51_3
all_dmn,XXDDR_DQ_IL531_NIL523_LP51_4
all_dmn,XXDDR_DQ_IL531_NIL523_LP51_5
all_dmn,XXDDR_DQ_IL531_NIL523_LP51_6
all_dmn,XXDDR_DQ_IL531_NIL523_LP51_7
all_dmn,XXDDR_DQ_IL532_NIL532_LP70_0
all_dmn,XXDDR_DQ_IL532_NIL532_LP70_1
all_dmn,XXDDR_DQ_IL532_NIL532_LP70_2
all_dmn,XXDDR_DQ_IL532_NIL532_LP70_3
all_dmn,XXDDR_DQ_IL532_NIL532_LP70_4
all_dmn,XXDDR_DQ_IL532_NIL532_LP70_5
all_dmn,XXDDR_DQ_IL532_NIL532_LP70_6
all_dmn,XXDDR_DQ_IL532_NIL532_LP70_7
all_dmn,XXDDR_DQ_IL533_NIL533_LP71_0
all_dmn,XXDDR_DQ_IL533_NIL533_LP71_1
all_dmn,XXDDR_DQ_IL533_NIL533_LP71_2
all_dmn,XXDDR_DQ_IL533_NIL533_LP71_3
all_dmn,XXDDR_DQ_IL533_NIL533_LP71_4
all_dmn,XXDDR_DQ_IL533_NIL533_LP71_5
all_dmn,XXDDR_DQ_IL533_NIL533_LP71_6
all_dmn,XXDDR_DQ_IL533_NIL533_LP71_7
all_dmn,XXDDR_DQS_IL500_NIL500_LP00_N
all_dmn,XXDDR_DQS_IL500_NIL500_LP00_P
all_dmn,XXDDR_DQS_IL501_NIL501_LP01_N
all_dmn,XXDDR_DQS_IL501_NIL501_LP01_P
all_dmn,XXDDR_DQS_IL502_NIL510_LP20_N
all_dmn,XXDDR_DQS_IL502_NIL510_LP20_P
all_dmn,XXDDR_DQS_IL503_NIL511_LP21_N
all_dmn,XXDDR_DQS_IL503_NIL511_LP21_P
all_dmn,XXDDR_DQS_IL510_NIL502_LP10_N
all_dmn,XXDDR_DQS_IL510_NIL502_LP10_P
all_dmn,XXDDR_DQS_IL511_NIL503_LP11_N
all_dmn,XXDDR_DQS_IL511_NIL503_LP11_P
all_dmn,XXDDR_DQS_IL512_NIL512_LP30_N
all_dmn,XXDDR_DQS_IL512_NIL512_LP30_P
all_dmn,XXDDR_DQS_IL513_NIL513_LP31_N
all_dmn,XXDDR_DQS_IL513_NIL513_LP31_P
all_dmn,XXDDR_DQS_IL520_NIL520_LP40_N
all_dmn,XXDDR_DQS_IL520_NIL520_LP40_P
all_dmn,XXDDR_DQS_IL521_NIL521_LP41_N
all_dmn,XXDDR_DQS_IL521_NIL521_LP41_P
all_dmn,XXDDR_DQS_IL522_NIL530_LP60_N
all_dmn,XXDDR_DQS_IL522_NIL530_LP60_P
all_dmn,XXDDR_DQS_IL523_NIL531_LP61_N
all_dmn,XXDDR_DQS_IL523_NIL531_LP61_P
all_dmn,XXDDR_DQS_IL530_NIL522_LP50_N
all_dmn,XXDDR_DQS_IL530_NIL522_LP50_P
all_dmn,XXDDR_DQS_IL531_NIL523_LP51_N
all_dmn,XXDDR_DQS_IL531_NIL523_LP51_P
all_dmn,XXDDR_DQS_IL532_NIL532_LP70_N
all_dmn,XXDDR_DQS_IL532_NIL532_LP70_P
all_dmn,XXDDR_DQS_IL533_NIL533_LP71_N
all_dmn,XXDDR_DQS_IL533_NIL533_LP71_P
all_dmn,XXDDR_NC_0CA11_1CS0_1CA3
all_dmn,XXDDR_NC_0CA9_0CS0_0CA3
all_dmn,XXDDR_NC_1CA0_3CS0_3CA3
all_dmn,XXDDR_NC_1CA3_2CS0_2CA3
all_dmn,XXDDR_NC_1CA6_3CA3_3CS0
all_dmn,XXDDR_NC_1CA7_2CA3_2CS0
all_dmn,XXDDR_NC_2CA1_5CA4_5CS1
all_dmn,XXDDR_NC_2CA11_5CS0_5CA3
all_dmn,XXDDR_NC_2CA9_4CS0_4CA3
all_dmn,XXDDR_NC_3CA6_7CA3_7CS0
all_dmn,XXDDR_NC_3CA7_6CA3_6CS0
all_dmn,XXDDR_NC_NC_4CA4_4CS1
all_dmn,XXDDR_VIEW_0
all_dmn,XXDDR_VIEW_1
all_dmn,XXDDR_WCK_NC_NC_LP00_N
all_dmn,XXDDR_WCK_NC_NC_LP00_P
all_dmn,XXDDR_WCK_NC_NC_LP01_N
all_dmn,XXDDR_WCK_NC_NC_LP01_P
all_dmn,XXDDR_WCK_NC_NC_LP10_N
all_dmn,XXDDR_WCK_NC_NC_LP10_P
all_dmn,XXDDR_WCK_NC_NC_LP11_N
all_dmn,XXDDR_WCK_NC_NC_LP11_P
all_dmn,XXDDR_WCK_NC_NC_LP20_N
all_dmn,XXDDR_WCK_NC_NC_LP20_P
all_dmn,XXDDR_WCK_NC_NC_LP21_N
all_dmn,XXDDR_WCK_NC_NC_LP21_P
all_dmn,XXDDR_WCK_NC_NC_LP30_N
all_dmn,XXDDR_WCK_NC_NC_LP30_P
all_dmn,XXDDR_WCK_NC_NC_LP31_N
all_dmn,XXDDR_WCK_NC_NC_LP31_P
all_dmn,XXDDR_WCK_NC_NC_LP40_N
all_dmn,XXDDR_WCK_NC_NC_LP40_P
all_dmn,XXDDR_WCK_NC_NC_LP41_N
all_dmn,XXDDR_WCK_NC_NC_LP41_P
all_dmn,XXDDR_WCK_NC_NC_LP50_N
all_dmn,XXDDR_WCK_NC_NC_LP50_P
all_dmn,XXDDR_WCK_NC_NC_LP51_N
all_dmn,XXDDR_WCK_NC_NC_LP51_P
all_dmn,XXDDR_WCK_NC_NC_LP60_N
all_dmn,XXDDR_WCK_NC_NC_LP60_P
all_dmn,XXDDR_WCK_NC_NC_LP61_N
all_dmn,XXDDR_WCK_NC_NC_LP61_P
all_dmn,XXDDR_WCK_NC_NC_LP70_N
all_dmn,XXDDR_WCK_NC_NC_LP70_P
all_dmn,XXDDR_WCK_NC_NC_LP71_N
all_dmn,XXDDR_WCK_NC_NC_LP71_P
all_dmn,XXDDSP_HPDA
all_dmn,XXDRAM_RESET_N
all_dmn,XXEDM_BASE
all_dmn,XXEDM_BASE_CPU_GND
all_dmn,XXEDM_COMPUTE_DIE
all_dmn,XXEDM_CPU
all_dmn,XXEDM_SOC
all_dmn,XXEDM_SOC_GND
all_dmn,XXEPD_ON_CPU_IN
all_dmn,XXEPD_ON_GCD_IN
all_dmn,XXEPD_ON_OUT
all_dmn,XXFUSE_TM_IO_0
all_dmn,XXFUSE_TM_IO_1
all_dmn,XXFUSE_TM_IO_2
all_dmn,XXFUSE_TM_IO_3
all_dmn,XXGCD_BGR_TRIM_REF
all_dmn,XXGCD_BGR_VIEWANA_0
all_dmn,XXGCD_BGR_VIEWANA_1
all_dmn,XXEDM_GCD
all_dmn,XXEDM_GND_GCD_SRT
all_dmn,XXGCD_HVM_EPD_ON
all_dmn,XXGCD_HVM_MODE
all_dmn,XXGCD_RESERVED_0
all_dmn,XXGCD_RESERVED_1
all_dmn,XXGCD_TP_DATA_OUT_0
all_dmn,XXGCD_TP_DATA_OUT_1
all_dmn,XXGCD_TP_DATA_OUT_2
all_dmn,XXGCD_TP_DATA_OUT_3
all_dmn,XXGCD_TP_DATA_OUT_4
all_dmn,XXGCD_TP_DATA_OUT_5
all_dmn,XXGCD_TP_DATA_OUT_6
all_dmn,XXGCD_TP_DATA_OUT_7
all_dmn,XXGCD_TP_DATA_IN_0
all_dmn,XXGCD_TP_DATA_IN_1
all_dmn,XXGCD_TP_DATA_IN_2
all_dmn,XXGCD_TP_DATA_IN_3
all_dmn,XXGCD_TP_DATA_IN_4
all_dmn,XXGCD_TP_DATA_IN_5
all_dmn,XXGCD_TP_DATA_IN_6
all_dmn,XXGCD_TP_DATA_IN_7
all_dmn,XXGCD_VIEW_ANA_IN_0
all_dmn,XXGCD_VIEW_ANA_IN_1
all_dmn,XXGCD_VIEW_ANA_IN_2
all_dmn,XXGCD_VIEW_ANA_OUT_0
all_dmn,XXGCD_VIEW_ANA_OUT_1
all_dmn,XXGCD_VIEW_DIG_OUT_0
all_dmn,XXGCD_VIEW_DIG_OUT_1
all_dmn,XXGCD_VIEW_DIG_OUT_2
all_dmn,XXGPP_A_0_ESPI_IO_0
all_dmn,XXGPP_A_1_ESPI_IO_1
all_dmn,XXGPP_A_10_OSSE_SMLALERT_B
all_dmn,XXGPP_A_11
all_dmn,XXGPP_A_12
all_dmn,XXGPP_A_13_ESPI_CS1_B
all_dmn,XXGPP_A_14_ADR_COMPLETE
all_dmn,XXGPP_A_15_DNX_FORCE_RELOAD
all_dmn,XXGPP_A_16_ESPI_CS2_B
all_dmn,XXGPP_A_17_ESPI_CS3_B
all_dmn,XXGPP_A_2_ESPI_IO_2_PRIPWRDNACK
all_dmn,XXGPP_A_3_ESPI_IO_3_PRIACK_B
all_dmn,XXGPP_A_4_ESPI_CS0_B
all_dmn,XXGPP_A_5_ESPI_CLK
all_dmn,XXGPP_A_6_ESPI_RESET_B
all_dmn,XXGPP_A_7
all_dmn,XXGPP_A_8_OSSE_SMLCLK
all_dmn,XXGPP_A_9_OSSE_SMLDATA
all_dmn,XXGPP_B_0_USBC_SMLCLK
all_dmn,XXGPP_B_1_USBC_SMLDATA
all_dmn,XXGPP_B_10_DDSP_HPD2_DISP_MISC2
all_dmn,XXGPP_B_11_USB2_OC1_B_DDSP_HPD3_DISP_MISC3
all_dmn,XXGPP_B_12_SLP_S0_B
all_dmn,XXGPP_B_13_PLTRST_B
